Stars,Titles,Comments
5.0 out of 5 stars,Great for cloudy days and night skiing,Have used these four times this season and are working great.  I wear glasses so that I can see what I am skiing on.  The goggles fit right over the top of my glasses. The goggles keep everything from fogging up even on the -25 days and nights i have skied.  Would buy them again in the future.
4.0 out of 5 stars,Dark lenses,"Be sure to look at the light ratings on the lense. They look cool, but they aren?? for skiing places that are often overcast like the Pacific Northwest because they don?? let enough white in and make it difficult to see."
5.0 out of 5 stars,Awesome visibility and clarity,I bought these googles for a snow mobile/ski trip for my boyfriend and I. They were amazing. The Clarity and visibility were so good! We even wore them the next day when we went snow tubing because the sun reflecting off the snow was so bright! Definitely worth the buy and an awesome investment! Get them you won?? be sorry!
5.0 out of 5 stars,Excellent goggles!,"Title says it all. Affordable, comfortable. They fit up a bit, ??you just gotta figure out what layering works best for you!"
5.0 out of 5 stars,Great!,"Easy to use , looks super cool , feels quality !"
3.0 out of 5 stars,Can?? breath easily,It?? a nice product for the price you??e paying but it?? tight on the nose so you??l def be moving it a lot in order to find a good spot to breathe trought your nose . Good for a day but def not for a long snowboarding sesi?n.
3.0 out of 5 stars,"Comfortable,  but only good for bright sun conditions.","I purchased these for a snowboarding trip and they were good for the price,  but they were not good for partly sunny conditions like advertised.  They were good in full sun,  but when the conditions changed or you went into a shaded area,  the lens were not really effective and i mostly ended up riding without them. I bought the silver lens,  and while the fitment was good,  the coating on the lens was not.  They ended up scratching easily which was disappointing.  If i were to purchase again,  i would most likely either get a clear lens,  or a lens that is colored/tinted instead of a coating on the outside surface"
5.0 out of 5 stars,Perfect for late afternoon/ evening skiing,I bought these for my son who participates in a handicap ski program. These are perfect to put over his glasses when there is little sunshine. There is minimal fogging and sized toFit comfortably over his glasses. They come with a case to help prevent scratches. We have been very pleased with these. I would definitely recommend them.
5.0 out of 5 stars,Great ski goggles,Bought two pair for my husband and I. We wore them over our helmets and the fit was great. They have enough cushion so they don?? dig into the forehead or nose. Had no problems with fog or visibility. Work best for adults.
5.0 out of 5 stars,Great goggles for riding.,Full range view and comfortable.
5.0 out of 5 stars,SO nice,"Well these arrived just in time to help me get through yet another blizzard, & let me tell you....What a difference!!These goggles make doing hand to hand combat with winter kind of fun!...As they ARE fog proof, give great face coverage.... offer great field of vision....excellent optical clarity.... & very good sun glare  protection.And they are very comfortable to boot...Yes.....you get it all with these, plus....They look great as well.....seriously, the first person who saw me wearing these looked dumbfounded, as you could see the shock of awe in their eyes.I am actually in between ""shifts"" at the moment, catching my breath so I can go outside & throw some snow with the snow blower...so I figured I would post my first impression, which is... most impressive!I actually gave up using goggles years ago because I could not find a pair that wouldn't fog... not only do these not fog....they change the experience of being outside in a blizzard..... as your face [as long as you wear head/face protection with the goggles of course] is entirely protected from the wind & snow...It kind of looks as though you are sitting in a vehicle, the view is that nice & warm.And this is perfect for my needs, as throwing snow with a snow-blower is really rough when the wind blows....as it will throw it right back at you, right in your face.So I need all the protection I can get, as high winds with extreme temps = big trouble if your not adequately prepared.There have been many time when I couldn't even see, because of the winds & snow blinding me...& if you can't see, you don't move the snow blower so you just stand there being turned into a snowman lol So... yes, I love these goggles, highly recommended :)"
5.0 out of 5 stars,"Great value, good fit, well ventilated. Had zero fog issues. Great lens for sunny days.",Report abuse
5.0 out of 5 stars,Great goggles especially for the price,"They fit over my glasses just as I had hoped.  I went with a middle-of-the-range VLT lens so that I could use them in most sun conditions.  I primarily use them when using my snowblower.  Makes a world of difference, not getting blowing snow in my eyes.  Haven't fogged up once."
5.0 out of 5 stars,Great for the price!,For the price point these are hard to beat! I have about 15 hours on the mountain with these and haven?? had any fog problems. Comfortable for all day wear. Will buy more lenses for different conditions as needed!
5.0 out of 5 stars,Great goggles,"Great visibility. Cuts the sunlight down to a comfortable level, yet still able to ski after the sun goes down on lighted trails. No fogging issues on a -22f day or a 22f day. No complaints from me."
5.0 out of 5 stars,Great goggles!,I purchased these to use when using my snow blower.They worked perfectly and we're a great value for me to get a second pair depending on the light conditions.
4.0 out of 5 stars,"Great, these fit HONGOAK frame.","I couldn't find the Hongoak lens shade i wanted, so these fit perfectly."
4.0 out of 5 stars,"For the money, these performed really well at snowbird & alta in harsh conditions.","I have a few days on this goggle in some tough elements at snowbird and Alta. They are legit, but come with a few quirks.The goggle is very comfortable. You'll get the same comfort as your big brands. I didn't notice any difference from what I'd expect from spy, oakley, etc.The lens however is a different story. I do see distortion in certain kind of objects when looking left and right. I can't say that I ever noticed this with my big brand goggles. It seems like maybe one of the panes of the goggle was bent prior to manufacturing. -.5 starsThe lens does scratch easily, which isn't a surprise because I see this with the big brands too.The other day I was skiing in Alta where it was dumping snow with 40-50mph winds. When I was on the chair lift I noticed that snow was blowing into the lens vents. I was pretty warm as I was in between runs, but I noticed on the lift that I was getting some fogging on the very edges of the lens. After a few turns on the slopes enough air would enter the vents and shortly after the fog would dissipate. That was the only time in 7 days of skiing where these became a problem. I wouldn't consider myself as some who perspires a lot, so if you're a sweaty person this may affect you more than it did to me. -.5 starsOverall, I'm very happy with the purchase. Totally worth the money, and they look pretty sweet too. I just wish there were better lens options."
5.0 out of 5 stars,Bought a second pair,"Used the goggles for a ski week in Colorado and loved them. Excellent value for money, bought a second pair."
5.0 out of 5 stars,Perfect fit,Bought these to fit over my glasses and they are perfect. My glasses don?? fog up. Exactly what I needed.
5.0 out of 5 stars,"Comfy, good shading, and sweet look","My nose is bent to the side somewhat thanks to an old injury, which makes many goggles uncomfortable. These, though, have enough padding to be comfortable all day. Love em! Can't even think of a reason to ""upgrade"" in the future, these seem perfect."
5.0 out of 5 stars,Perfect for the slopes,Report abuse
5.0 out of 5 stars,Great goggles.  Worked well.,They worked great for my trip out west. I received several compliments on my outfit since they had a matching color lens
5.0 out of 5 stars,Fits over glasses,"I was just interested in ski goggles that fit over glasses and these were perfect! They didn't smash my glasses, they didn't fog up and I had great visibility. I definitely recommend!"
5.0 out of 5 stars,Good product.,"Very easy to attache, I saw some reviews about that it is difficult. The little tabs on the side twist to closed and open position, so maybe someone did not know that."
5.0 out of 5 stars,EXCELLENT VALUE! GREAT GOGGLES!,Great goggles. Definitely better than my old goggles. Used on sunny days and one overcast day. Worked great for both.
5.0 out of 5 stars,Just what I ordered,They came quickly. And even though they came in a soft emvelope they were OK. Just what I ordered and expected!
5.0 out of 5 stars,Great Ski Goggles at a Great Price,"Comfortable, adjustable, fit over my eye glasses -- and the tint on the lens is perfect for super sunny days and for cloudy days in the Rockies.  Plus they look great on the slopes!"
5.0 out of 5 stars,"Great Goggles, even better Customer Service!  You rock Zionor!!!","I can't say enough about the customer service of Zionor.  I received my goggles and there was a small chip in the bottom edge of the lense.  No big deal, but I informed Zionor.  They offered to send me a replacement lense so I was pretty stoked.  When I received the replacement lense it was a different color (no biggie, the small chip wasn't obstructive and color options are great.) but it was also for a different model of Zionor goggles.  Bummer.  I wrote them back and they looked into it.  They said the replacement was fulfilled by Amazon, they apologized, and they said they were going to send me the right lense.  Well, they did!  Not only did they send me the replacement lense, they also sent me an entire new goggle set with another lense!!!  WHAAAAAAAAT?!?!?!?  I totally didn't expect that, but I really appreciate it Zionor!I used my new Zionor goggles for a week in Tahoe and they performed great.  Comfortable on my face, no fogging up, and the view area is huge.  Yeah, the goggles are a little big on your face, but that allows you to have a huge view unobstructed by the goggle frames.  The magnetic lenses on these are DOPE!  So easy to change out lenses, and no, even if you wreck out bad the lenses are not going to pop off the frames.  You can't beat the quality, especially at this PRICE.  I highly recommend these goggles, and especially Zionor as a company.  Thanks!"
5.0 out of 5 stars,Good,"These seem fine. They were only used two days but so far, so good."
5.0 out of 5 stars,Great for the price,"I bought these goggles for a ski trip. I didn't want to invest a lot of money into them because I only go once in a while and these were a perfect find. They felt comfortable, fit around my helmet and very rarely fogged up when worn properly. Would definitely recommend."
5.0 out of 5 stars,Great Goggles,Very comfortable and they never fogged up!
5.0 out of 5 stars,"Great fit, great visibility.",Goggles worked perfectly for my whole family! Now have a pair for all!
5.0 out of 5 stars,Great product,Just as described.  Comfortable and great vision
5.0 out of 5 stars,Perfect fit and coverage,This is a provides a really good coverage and fits great with good seal letting in the right amount of light. I would buy again.
5.0 out of 5 stars,Great product.  No complaints.,Great set of goggles for a low price.  I had no fogging issues after two weeks of use.
5.0 out of 5 stars,Great goggles but be careful with the inside lens,"For the price you get what you pay for. These are awesome looking goggles that get the job done. But there are definitely some drawbacks to be aware of before buying.Pros:1. Look awesome2. Big and provide a wide field of view when wearing them.3. Flexible and durable frame.4. Removable strap if any need arrises to change it or whatever.5. Relatively cheap6. Great customer service. I had some problems and they reached out to me and gave me a discount back along with a replacement pair. They seem to put a lot of effort into keeping customers satisfied. It was the first time I've had such friendly and helpful assistance from a company.Cons:1. Anti-fog layer on the inside is VERY delicate. Need to keep goggles on to keep excessive fog from building up or from snow/water from getting on the inside of the lens. You can't wipe the inside of the lens to clean it, it needs to air dry. Any contact on the lens or excessive water can cause some damage. If you get these, be careful with them.2. The lens is difficult to remove. It hurt my hands getting it off and felt like I was going to crack the lens. And it makes it worse because you can't touch the inner lens or it will leave marks. I got these initially planning on swapping the lens for night skiing but it's not realistic because it's so difficult to remove the lens. I would highly recommend the magnetic lens changing model of goggles offered by Zionir if you plan on swapping them out on the mountain.Overall these are great goggle for the price!!"
5.0 out of 5 stars,Looked great and great price,Loved the look of the goggles. They were still a little uncomfortable over my glasses but did pretty well considering.
5.0 out of 5 stars,Rivals and exceeds quality of goggles costing hundreds of dollars more.,"Purchased the OTG--Over The Glasses goggles with a VLT of 8.4% and an additional amber lens for cloudy days.  I can't be more pleased with the quality and function of these goggles.  No tearing up due to cold wind blowing through seams; no fogging or ice build up whatsoever.  I wear coke bottle thick glasses and finally found a pair of high quality, affordable, goggles designed for persons who wear glasses.  Already recommended to both family and friends--one of whom tried them out for 1 run only and just ordered a pair for himself!  Yes, i got them back...seriously no cold air leaks at very high speed cruising (former racer back in the day), no fogging, and no icing.  Could not be happier with this purchase."
5.0 out of 5 stars,Works with glasses!,These work great with glasses!
5.0 out of 5 stars,Great and affordable,"These worked out perfectly. Durable, clear, and lightweight. More than I expected at the price."
2.0 out of 5 stars,"Look nice but are small and NOT ""OTG"" goggles.","Nice try ZIONOR, but these goggles are NOT ""OTG"" goggles. The website states that the goggles accomodate 5.51 in length x 1.57 in height glasses. Mine are 5.5 x 1.25 and I can't even get them inside the goggles. I heard the same complaint from a skier on a chairlift at Keystone this year before I took a chance on buying these. The goggles appear to be made for much smaller heads - see photos. They appear to be ""wide angle"" from the outside, but the view from inside is just a bit less wide then my standard GIRO OTG goggles. The goggle frames block any wide angle view. I give them an A for outside appearance but a C- for execution. If you have a very small thin head then these goggles may work for you. I am reluctantly returning the goggles."
4.0 out of 5 stars,Lots of bang for buck,The goggles preformed well for both day and night snowboarding. I was in 18? weather so the venting wasn?? all that needed but I had no problems with them fogging up even with wearing a face mask the whole time. Also cleaned up really well and were very comfortable. Only problem I had was at night when the snow machines were blowing snow and the snow froze to the outside of the lenses. Granted I don?? think most goggles would have prevented that. But excellent pair of goggles for the price and they compete with much higher end models.
5.0 out of 5 stars,10 out of 10 would buy again and again!,Report abuse
5.0 out of 5 stars,Great in low light and rain,I was skeptical of cheap goggles but these are the best goggles I??e ever used.
5.0 out of 5 stars,good quality for the price you pay,"I ordered this goggles mostly because I liked the price and design, eventhough I've never ordered everything online without trying it on first, I decided to go for it this time. I've chosen Silver color lense and black frame (Lagopus X Silver), because it looked very stylish and also fit the requirements for weather.It arrived on time, in a bubbled from inside package. There were goggles and a bag for them inside, goggles wer wrapped in plastic from inside of the lens, which protected it from the dust and other scratches. They look new, as they should, with everything glued very well. The stripe on your head is a little bit big(long) to wear over a hat, but should be good on a helmet. They are flexible, although I didn't really try hard to band it into different sides. Dont look gigantic on my face! Sometimes new goggles put too much pressure on your nose, this ones do not! I wore them for like an hour, to see that!The visiability is quite good, but not as wide as expected. I see the soft area on my nose, which I do not see on my other goggles, also I see the end of the lens from both sides(right, left and up and down), and on my others, I dont.I should say they definitely worth the price and I will order several lens for them! And surely recommend it to others!"
3.0 out of 5 stars,Fair value,They look good but the frame materials are not high quality and I don?? expect them to last a long time like a well know brand. They fit into my helmet ??K??but not perfect. The top profile of these goggles has a contour and leaves gaps along the helmet line on the forehead. It works but but a perfect line up.
5.0 out of 5 stars,Fits perfectly,I love how great it fits around the helmet or just around the head. Glad I bought this product!
5.0 out of 5 stars,Great goggles at a reasonable price!,Comfortable??.wide peripheral vision??stylish.  What?? not to like?
4.0 out of 5 stars,"Started out great, then fog city","Loved these for the first hour or two and then they started to fog up and iced over.  I ended up not wearing them since I couldn?? see out of them.  Disappointing and wiping them with my lens cloth only temporarily removed the excess moisture.  While they fit over my glasses, it was more comfortable without my glasses.  Not sure if the fog was due to my face mask and outside of covid, perhaps they would not fog."
5.0 out of 5 stars,Quick shipping great item very comfortable over my glasses,Fits great over my glasses
5.0 out of 5 stars,Great Value!,"Took these out for 6 days in Crested Butte, CO. For $30, I'm not sure they can be beat! Be sure to set them on your face properly; don't let them sit on your balaclava or you'll be dealing with foggy vision all day! There was heavy snow, light snow, no snow and these performed well in them all. The only mention to be made is that the green tint isn't the best for vision in the darker, snowier conditions, but if you read the description, you know that already. They fit perfectly with the ski helmet and the padding was comfortable throughout daily skiing! I HIGHLY recommend to anyone looking for a cool-look, cost-effective pair of ski goggles!"
3.0 out of 5 stars,Very Yellow,"Bought the polarized blue lens to go with the frame. They were comfortable and felt like great quality. Switching the lens takes a little force and I would not want to do it on the mountain with cold hands, but really not an issue.Main issue with the lens is how crazy yellow it is. Was not expecting that so I did return it. If this is something you like then all other aspects seem pretty good."
5.0 out of 5 stars,"Good item, quick replacement",Originally The lens arrived in a non-protective envelope instead of a box and so was broken. It was quickly exchanged and the replacement is great
5.0 out of 5 stars,Outstanding,Great quality!
5.0 out of 5 stars,"Fits large frames glasses smoothly ??ay Ban??, Oakley????,Reviewed in the United States on February 14","Very amazing fits well, kept my face and forehead warm"
5.0 out of 5 stars,easy to install,makes it easy to see at night while skiing
5.0 out of 5 stars,fog free,Did not fog. Good price. They look like bugman but work good.
4.0 out of 5 stars,"When in doubt, buy a higher %","Great goggles for the price. No need to waste cash on the high end $100 IMO for marginal benefit.I will say that unless you ski exclusively bluebird days, do not get anything less than a 60%. If it snows and you??e wearing a 15% you will not have a good time. 20% Lowest for a very sunny day, and get a 80-99% if there is a single cloud in the sky. I learned this the hard way."
4.0 out of 5 stars,A bit hard to change the faceplate,"I bought another faceplate for this, for cloudy/stormy days, and it's a bit of a pain to change it. Likely not going to last long if changing often.So picking a model with magnets... is likely better.That said, the googles work well, I wear glasses and with some fog treatment on the inside, they did not fog.Good visibility, no weird optical deformations, and great price. I like them."
5.0 out of 5 stars,Awesome,These goggles are awesome! Not much you can say but awesome
4.0 out of 5 stars,Joey gap :(,"There was a little bit of a joey gap with my current helmet but if you have the right helmet I'm sure that wont be an issue... or if you like rockin a joey gap lmao. Great for day skiing, would recommend back up lenses/goggles for night skiing."
5.0 out of 5 stars,Great product. Great price,Great product. Great price
5.0 out of 5 stars,Great deal,"Work awesome, zero fog issues. Great price"
3.0 out of 5 stars,"Quality and Value Yes, Everything Else, Not So","I was very hesitant to purchase this spherical ski goggle online without the benefit of examining and wearing it.  However, the price was more than 75% less expensive than several of the ""name brand"" spherical goggles, and I decided to take a chance.  The quality and optics were surprising good, and the mirrored lens reduced much of the glare.  Although the full-sized lens appeared to impart a much larger viewing area, in fact, its not much more than an exposed framed goggle of similar size.  The standard lens is very dark and only appropriate for very sunny conditions; instead, I had to make a separate lens purchase for low light conditions.  They should have packaged this goggle with an additional lens and price it accordingly (refer to my review of the additional lens).  Worth noting, the goggles came with the ugliness designed strap I have ever seen.  Its mentioned in the description that the strap can be changed but there are no instructions included.  Likewise, no instructions on replacing the lens but that is easily figured out.  I'd give it 3.5 stars, more on the strength of the goggle's quality and good value than anything else.As noted, I had to purchase an additional lens with a higher VLT ratio to supplement the darker standard lens supplied with the goggle.  The optics appeared to be good with no noticeable distortion; the view was bright, although, unlike the mirrored standard lens, it did not reduce glare.  The double lens is yellow tinted and unfortunately, you can see the uneven adhesive bonding; it appeared the glue was applied manually.  Additionally, the lens was poorly packaged.  It was without adequate protection and could of been easily damaged or scratched; it did not come in a box.  Overall, a bit disappointing. I'd give it 2.5 stars, mainly for the good optics."
5.0 out of 5 stars,Great Purchase,"Love this product! I can say that I haven't been on snow in a number of years, but an opportunity came up to go snowboarding over Christmas break and so I needed all new gear. After reading through many reviews, the look and price of these goggles caught my eye, along with the positive reviews.  I can tell you that these are about as good as I would ever expect of this type of product, especially at this price point. They came with a cloth case and no extra lense. I got the mirrored ones and loved them. We were out on a sunny day; clear skies and fresh white snow. The tint was perfect (might be too dark for night time outtings). I did not wear a helmet with these and was able to fit it to my face by adjusting it down. I'm certain these would fit with a helmet, there's plenty of adjustment space.I was out for about 6hrs and experienced one small spot of fogging on my left eye. In my opinion, great anti fogging performance given the temps (darn near reached 50F at high noon, I was sweating and had to remove layers).My only complaint (if this counts) is the large yellow lettering on the band. I would definitely recommend these goggles and would buy them again."
5.0 out of 5 stars,Highly recommend!,Highly recommend
4.0 out of 5 stars,Good Value - Did Not Want Gradient,"Overall, they're very good goggles for the price. I had a last-minute, 5 day trip to Breckenridge, and these did the trick. They look cool, they vent well, and the fit is comfortable. If you need good goggles in a pinch, get these. If you need a good pair of goggles for multiple seasons, invest in a better pair.There were two drawbacks for me:First, the lens has a gradient, which I wasn't aware of and didn't see anywhere on the listing. It isn't as noticeable on sunny days, but on cloudy days, it keeps your eyes from adjusting to the lens because the color changes every time you tilt your head or look up/down.Second, the lens does not bead well on warmer days (see picture). I had to wipe my lens much more than my buddy who had more expensive goggles. This is less of an issue because it's to be expected for the price."
3.0 out of 5 stars,Good googles,Fits good . Looks good . Lenses are challaging to take off and switch .
4.0 out of 5 stars,A fine pair of goggles,"Hard to beat for the price, nice vision and comfort all day long. I have taken them out for one long day so far, I put them on in the morning and did not remove them until the day was done. They did fog up a little bit but over all for price I was more than happy with the quality and comfort of the goggles."
5.0 out of 5 stars,Great purchase you wont regret,Good quality. Gets the job done. The tint is very nice.
5.0 out of 5 stars,Great Goggles,Nothing bad all good buy these
5.0 out of 5 stars,No fogging. Clear!!,These goggles fit perfectly! There was no fogging. I wore them on both a non-snowy and a snowy day and the goggles functioned so well in both scenarios.
5.0 out of 5 stars,Great goggles !! Huge field of view !,Amazing !!!  I bought theee different giggled from Amazon cause I wanted one to fit over mu glasses.  These did but my glasses did fog soI went Rambo andSkied 3 days with out glasses  I'mNot too blind.  If u need goggles to fit over glasses these have the best chance of working.  But these kick but on lots of other goggles.  I mean way pay 220 when u can get these for under 30  Even if u scratch themJust toss and rebuy.  IAm amazed at these .......
5.0 out of 5 stars,Awesome goggle,Very clear and do not fog.
3.0 out of 5 stars,Fit,Goggles do not fit over glasses like advertised
3.0 out of 5 stars,"Cool rig, loves to fog up","I like the feel, they're comfortable.I don't like how they fog up when it's seriously cold and puking snow"
5.0 out of 5 stars,How to pop how the Lenses? Need help. Awesome lenses though,Love these and got them a few days ago but can?? figure out how to pop out the lenses. I switch the little knob on the size and push it but it won?? come out and I don?? wanna put to much pressure and accidental break em.
4.0 out of 5 stars,Easily scratched,The goggles fit well and look great. They are very easy to scratch. I ruined my first pair quickly but did buy a second pair to replace them.
3.0 out of 5 stars,Barely fits glasses that are 5.5inches wide,My glasses are basically on the nose 5.5 inches. I could barely get them in the goggles. Even then it's a bit awkward because the arms are a little curved coming out. It would've been better if it was like a .15 inch wider so it's easier to take the glasses in and out of the goggles.
3.0 out of 5 stars,Cheap quality; decent beginner goggles,"These had a large scratch all the way across the lens before I even wore them once. Basically, it scratches easily.It?? also NOT fog proof. On very cold days where it was actively snowing and I?? get wet, my goggles would fog and I couldn?? see a thing. On blue bird days, they were fine.Other than that, I liked the mirror look and it was worn comfortably. It was also cheap, which is nice, but I probably wouldn?? buy from them again."
5.0 out of 5 stars,"Fit OTG up to 5.5"" as claimed",I finally admitted that I needed OTG goggles.  My research led me to these goggles because they are supposed to fit glasses up to 5.5 inches wide. I bought  the Zionor and 1 other brand with similar claims. The other goggles did not fit my glasses but the Zionor lived up to their claim. Its a snug fit so anything over 55 will not work. I really like the lenses! Both the standard silver and yellow (bought separately)  light up the trail making it easy to see the terrain.  Very happy with these goggles.
4.0 out of 5 stars,"nice, functional goggles",These are the first goggles I have used that I actually liked! They are clear so I can see all the changes in the terrain that I am snowboarding on. They are comfortable and didn't fog when I was wearing them. They did fog when they were on top of my head on the lift which took a little bit to clear but perfect otherwise! I am happy with these goggles!
3.0 out of 5 stars,Narrow field of view,"A little disappointed that so much of the frame is in the field of view. Lots of foam in the way on the sides and bottom.Fit and comfort were good. I have a large and wide head, and typically wear a Smith Vantage ski helmet size XL.(A1 lagopus-X, clear lens)"
5.0 out of 5 stars,Good goggles!,They don't fog and look great!
5.0 out of 5 stars,Great,"Snowboarded in 40 degree and -25 degree weather. Even with a facemask/skimask the goggles never fogged up. Pay attention to the instructions that come on the goggles, do not wipe the interior lense. Im sure they have some type of RainX type of coating that prevents fogging. If you wipe the interior lense, you may remove that coating. My glasses that I wear under the goggles sometimes did fog but there is plenty of ventilation in the goggles so the fog went away in a few seconds."
3.0 out of 5 stars,Vision,Wish there had more vision when riding. You have decent peri feral vision. Oakleys are better
